sample_name	birthplace	date_startcollection	cohort	mouse_line	site_line	host_age	host_age_units	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	study_topic	vivarium	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_categorical
GBS10d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		10a						0	GBS								Clear	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl321	adult	Mus musculus	2	II
GBS11d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		11a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl320	adult	Mus musculus	2	II
GBS12d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		12a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl319	adult	Mus musculus	2	II
GBS13d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		13a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl318	adult	Mus musculus	2	II
GBS14d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		14a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl317	adult	Mus musculus	5	V
GBS15d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		15a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl316	adult	Mus musculus	4	IV
GBS16d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.71428571	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		16a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl315	adult	Mus musculus	5	V
GBS17d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.14285714	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		17a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl314	adult	Mus musculus	5	V
GBS18d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	22.14285714	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		18a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl313	adult	Mus musculus	5	V
GBS19d0	BCM	8/18/20	2020Aug	HMB	BCM_HMB	21.85714286	weeks	b	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		19a						0	GBS								Colonized	HMB_GBSchallenge	BCM_Taub	reproductive system	mucus	vagina	C57/Bl312	adult	Mus musculus	2	II
