sample_name,f__Enterobacteriaceae; ; ,f__Lactobacillaceae; g__Lactobacillus; s__,f__Staphylococcaceae; g__Staphylococcus; s__succinus,f__Streptococcaceae; g__Streptococcus; s__,f__Lactobacillaceae; g__Lactobacillus; ,f__Enterococcaceae; g__Enterococcus; ,f__Moraxellaceae; g__Acinetobacter; ,f__Lactobacillaceae; g__Lactobacillus; s__helveticus,f__Streptococcaceae; g__Streptococcus; s__agalactiae,f__Lactobacillaceae; g__Lactobacillus; s__zeae,f__Micrococcaceae; g__Micrococcus; ,f__Xanthomonadaceae; g__Stenotrophomonas; s__geniculata,f__Corynebacteriaceae; g__Corynebacterium; s__,f__Deferribacteraceae; g__Mucispirillum; s__schaedleri,f__Lactobacillaceae; g__Lactobacillus; s__iners,Other
HMBpt2d3m08,0.216494845,0,0,0,0.092783505,0,0.020618557,0,0,0,0,0,0,0.097938144,0,0.572164948
HMBpt2d3m09,0,0,0,0.008,0.64,0,0.046,0,0,0,0,0,0,0.042,0,0.264
HMBpt2d3m10,0,0.00618047,0,0,0,0,0.302843016,0,0,0,0,0,0,0,0,0.690976514
HMBpt2d3m11,0,0,0,0,0,0,0.309756098,0,0,0,0,0,0,0,0,0.690243902
HMBpt2d3m12,0.545189504,0.069970845,0,0,0,0.011661808,0,0.151603499,0,0,0,0,0,0,0,0.221574344
HMBpt2d3m13,0,0.006225681,0,0.043579767,0.595330739,0,0.080933852,0,0.007782101,0,0,0,0,0,0,0.26614786
HMBpt2d6m01,0,0.001601922,0.99319183,0,0,0,0.001601922,0,0,0,0,0,0,0,0,0.003604325
HMBpt2d6m02,0.000566733,0,0.828752243,0.167280627,0,0,0,0,0,0,0,0,0.001227921,0,0,0.002172476
HMBpt2d6m03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HMBpt2d6m04,0.001752629,0,0,0.980721082,0,0,0.006009014,0,0.000250376,0,0,0.001001502,0,0,0,0.010265398
HMBpt2d6m05,0.997701889,0,0.000321736,0,0,4.59622E-05,0.000321736,0,0.000160868,0,0,0,0,0,0,0.00144781
HMBpt2d6m06,0.039525692,0,0,0.505928854,0,0,0.292490119,0,0,0,0,0.019762846,0,0,0,0.14229249
HMBpt2d6m08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
